Species1,Species,Genus,DrySeedStdValue,HeightStdValue,NitrogenStdValue,PhosphorusStdValue,StemStdValue
Carex hirsutella,Carex hirsutella,Carex,1.26,0.322726725,21.15965723,1.486310257,0.0013752
Carex pensylvanica,Carex pensylvanica,Carex,1.79,0.157751938,21.15965723,1.486310257,0.0013752
Carex meadii,Carex meadii,Carex,3.045454545,0.281137931,19.185,1.486310257,0.0013752
Carex pediformis,Carex pediformis,Carex,9.041305261,0.322726725,19.40781464,1.357530778,0.0013752
Carex,Carex,Carex,9.041305261,0.198611111,22.84692399,2.459678607,0.0013752
Carex blanda,Carex blanda,Carex,9.041305261,0.6096,26.2,1.486310257,0.0013752
Carex nigromarginata,Carex nigromarginata,Carex,9.041305261,0.322726725,21.15965723,1.486310257,0.0013752
Carex albicans,Carex albicans,Carex,9.041305261,0.322726725,21.15965723,1.486310257,0.0013752
Carex muehlenbergii,Carex muehlenbergii,Carex,9.041305261,0.322726725,21.15965723,1.486310257,0.0013752
Carex occidentalis,Carex occidentalis,Carex,9.041305261,0.322726725,21.15965723,1.486310257,0.0013752
Carex floridana,Carex floridana,Carex,9.041305261,0.322726725,21.15965723,1.486310257,0.0013752
Carex inops,Carex inops,Carex,9.041305261,0.322726725,21.15965723,1.486310257,0.0013752
Carex gravida,Carex gravida,Carex,9.041305261,0.322726725,21.15965723,1.486310257,0.0013752
Carphephorus odoratissimus,Carphephorus odoratissimus,Carphephorus,3.1,18,NA,NA,NA
Carya cordiformis,Carya cordiformis,Carya,2852.228724,30.53976471,22.71428571,2.47127073,0.1299
Carya glabra,Carya glabra,Carya,3485.389842,18.93744314,17.08947368,0.999874826,0.096019231
Carya texana,Carya texana,Carya,5171.865063,36.68053333,18.29225924,1.757514725,0.096019231
Carya tomentosa,Carya tomentosa,Carya,5171.865063,23.79122349,18.29225924,1.757514725,0.096019231
Carya alba,Carya alba,Carya,6186.308834,14.19522564,17.69776824,1.1125,0.067748913
Cassia,Cassia,Cassia,20,7.157894737,22.74475377,1.42992372,0.188
Cassia chamaecrista,Cassia chamaecrista,Cassia,124.5467551,7.157894737,22.74475377,1.42992372,0.188
Cassytha racemosa,Cassytha racemosa,Cassytha,36.79024897,1.8,NA,NA,NA
Ceanothus americanus,Ceanothus americanus,Ceanothus,3.366066757,0.9572,15.7,1.1,NA
Ceanothus fendleri,Ceanothus fendleri,Ceanothus,3.99,0.228571429,30.228,2.273333333,NA
Ceanothus herbaceus,Ceanothus herbaceus,Ceanothus,6.606477628,2.651441441,24.76,1.432138634,NA
Celastrus scandens,Celastrus scandens,Celastrus,16.76649752,0.6096,22.08466667,2.706748424,NA
Celtis occidentalis,Celtis occidentalis,Celtis,110.7657147,23.08145882,24.9,2.2,0.14327753
Celtis laevigata,Celtis laevigata,Celtis,117.3535014,10.89295,28.73899591,1.933522623,1
Celtis,Celtis,Celtis,124.5704559,16.15312592,29.45691503,1.609057974,0.1705
Cenchrus ciliaris,Cenchrus ciliaris,Cenchrus,1.019868307,0.93152,18.5,NA,NA
Centrosema virginianum,Centrosema virginianum,Centrosema,39.2771875,0.472941176,17.4,0.61,NA
Cephalanthus occidentalis,Cephalanthus occidentalis,Cephalanthus,2.297503537,3.2164,NA,NA,NA
Cephalaria pungens,Cephalaria pungens,Cephalaria,10.32446602,0.864318182,22.9,NA,NA
Ceratotheca triloba,Ceratotheca triloba,Ceratotheca,1.34,2.5,NA,NA,NA
Cercis canadensis,Cercis canadensis,Cercis,23.72436731,5.125114894,19.11578947,0.9375,0.073534783
Cetraria islandica,Cetraria islandica,Cetraria,NA,0.07,NA,NA,NA
Chaetacanthus burchellii,Chaetacanthus burchellii,Chaetacanthus,NA,0.9,NA,NA,NA
Chaetopappa asteroides,Chaetopappa asteroides,Chaetopappa,0.23,0.1155,17.25333333,1.223333333,NA
Chamaecrista nictitans,Chamaecrista nictitans,Chamaecrista,2.2,1.02788,28.60188803,0.965,NA
Chamaecrista mimosoides,Chamaecrista mimosoides,Chamaecrista,2.465,1.02788,33.66666667,0.965,NA
Chamaecrista nigricans,Chamaecrista nigricans,Chamaecrista,3.61,1.02788,28.60188803,0.965,NA
Chamaecrista fasciculata,Chamaecrista fasciculata,Chamaecrista,8.500958751,0.55576,22.89,0.965,NA
Chamaecrista plumosa,Chamaecrista plumosa,Chamaecrista,31.25780599,1.02788,28.60188803,0.965,NA
Chamaenerion angustifolium,Chamaenerion angustifolium,Chamaenerion,NA,1.5,NA,NA,NA
Chamaescilla corymbosa,Chamaescilla corymbosa,Chamaescilla,0.81,0.15,NA,NA,NA
Chamaesyce cordifolia,Chamaesyce cordifolia,Chamaesyce,0.23,0.0875,NA,NA,NA
Chamaesyce inequilatera,Chamaesyce inequilatera,Chamaesyce,0.23,0.0875,NA,NA,NA
Chamaesyce nutans,Chamaesyce nutans,Chamaesyce,0.23,0.0875,NA,NA,NA
Chamaesyce maculata,Chamaesyce maculata,Chamaesyce,0.23,0.0875,NA,NA,NA
Chasmanthium laxum,Chasmanthium laxum,Chasmanthium,2.602739415,1.26492,17.26750081,NA,NA
Chasmanthium sessiliflorum,Chasmanthium sessiliflorum,Chasmanthium,3.764422055,0.486270303,17.26750081,NA,NA
Chasmanthium latifolium,Chasmanthium latifolium,Chasmanthium,5.13740204,0.436034839,17.26750081,NA,NA
Chasmopodium caudatum,Chasmopodium caudatum,Chasmopodium,12.49,2.5,NA,NA,NA
Cheilanthes viridis,Cheilanthes viridis,Cheilanthes,NA,0.2,NA,NA,NA
Chenopodium fremontii,Chenopodium fremontii,Chenopodium,0.405857143,0.5445,29.2925,2.795,0.002075
Chenopodium vulvaria,Chenopodium vulvaria,Chenopodium,0.45576,0.212361111,27.84857886,5.113333333,0.002075
Chenopodium incisum,Chenopodium incisum,Chenopodium,0.677152554,0.472525,31.39095541,3.006243154,0.002075
Chenopodium album,Chenopodium album,Chenopodium,0.746507619,0.472525,34.88927032,3.603367281,0.002075
Chimaphila maculata,Chimaphila maculata,Chimaphila,0.002,0.170013333,12.14,1.34,NA
Chloris virgata,Chloris virgata,Chloris,0.176375,0.625,18.96476213,2.846278737,NA
Chlorophytum senegalense,Chlorophytum senegalense,Chlorophytum,2.056666667,0.6,NA,NA,NA
Chlorophytum stenopetalum,Chlorophytum stenopetalum,Chlorophytum,2.056666667,0.6,NA,NA,NA
Chorizema rhombeum,Chorizema rhombeum,Chorizema,3.986315789,1.5,NA,NA,NA
Chrysopsis,Chrysopsis,Chrysopsis,0.672093967,0.325854545,21.59608933,1.466666667,NA
Chrysopsis graminifolia,Chrysopsis graminifolia,Chrysopsis,0.672093967,0.325854545,21.59608933,1.466666667,NA
Chrysopsis aspera,Chrysopsis aspera,Chrysopsis,0.672093967,0.325854545,21.59608933,1.466666667,NA
Chrysopsis gossypina,Chrysopsis gossypina,Chrysopsis,0.672093967,0.325854545,21.59608933,1.466666667,NA
Chrysopsis mariana,Chrysopsis mariana,Chrysopsis,0.74,0.325854545,21.59608933,1.466666667,NA
Chuquiraga erinacea,Chuquiraga erinacea,Chuquiraga,7.5,1,11.9125,NA,NA
Circaea lutetiana,Circaea lutetiana,Circaea,2.141365217,0.330483871,25.08007009,2.288327321,NA
Cirsium,Cirsium,Cirsium,3.63,0.768918331,20.16481543,1.207491271,0.007516396
Cirsium altissimum,Cirsium altissimum,Cirsium,3.764666667,4,11.53,1.207491271,0.007516396
Cirsium horridulum,Cirsium horridulum,Cirsium,4.303128737,0.768918331,20.16481543,1.207491271,0.007516396
Cirsium undulatum,Cirsium undulatum,Cirsium,5.6405,1.2,23.55,1.207491271,0.007516396
Cirsium wheeleri,Cirsium wheeleri,Cirsium,12.802,0.5435,15.90090909,0.856,0.007516396
Cissus populnea,Cissus populnea,Cissus,572.79,3.582666667,18.17,1.06,NA
Cladonia,Cladonia,Cladonia,NA,0.03,5,NA,NA
Claytonia virginica,Claytonia virginica,Claytonia,1.382,0.124444444,NA,NA,0.001633333
Clematis pubescens,Clematis pubescens,Clematis,5.357867281,3.517109524,19.85544947,1.74938154,NA
Cleome angustifolia,Cleome angustifolia,Cleome,0.94,1.100978462,NA,NA,NA
Cleome monophylla,Cleome monophylla,Cleome,1.79,0.6,NA,NA,NA
Clitoria mariana,Clitoria mariana,Clitoria,133.2323077,0.2935,26.7,NA,NA
Cnidoscolus stimulosus,Cnidoscolus stimulosus,Cnidoscolus,519.3829268,5,30,3.8,NA
